,URL,Creation Time,Title,Content
0,https://www.opendiary.com/m/vulnerableme/well-i-peed-my-pants-today-5918713/,2020-10-29,Well… I peed my pants today. ,"
Yup, that’s right, I’m starting off this diary with a TMI. I don’t why this happens. I used to have an issue with my kidneys when I was younger and one doctor said that I would have a problem with bladder control when I’m older but other doctors didn’t agree with him. Anyway, I left my aunt’s house and was driving home and could nottttt hold my pee. It was an immediate sudden urge to pee and I tried and tried to hold it but I couldn’t. Luckily I was alone in the car. I drove home, got in the garage, took off my hoodie and wrapped it around my waist. We keep some cleaning supplies in the garage so I cleaned up the car, before walking in. I was surprised to discover my husband sitting upstairs in the office, so I didn’t have to face him or lie to him. I ran to the bathroom, took off my pants, and threw them in the washing machine. Then took a shower and put on a clean pair of pajama pants–good thing I didn’t put the laundry away yet.
So why am I telling you this… Well. My goal for this diary is to be vulnerable. I’ve spent so much of my life trying to please other people, trying to not get in trouble, and trying to make other people like me that I lost myself. And in the past few years, I’ve discovered that I’ve put on this mask and that’s how people see me. I want people to see the real me. I want to see the real me. So I’m writing it all down, holding myself accountable, learning and growing. Hopefully, the next few entries will be much more insightful: maybe a look at who I am and how I got here… I’ll try my best. I’m putting it all out there. This is me world. I just started knowing what it feels like to love myself, and I want to be the best person I can be.
Signed,
TheGirlWhoPeedHerPants
"
1,https://www.opendiary.com/m/vulnerableme/from-my-phone-9-5919325/,2020-10-31,From my phone,"
Writing only because I’m holding myself accountable. I said I would write today. I didn’t get the WiFi from my friend so I’m writing from my phone.
it’s nice to be here with everyone. But weird at the same time. It’s like, a different me. When I lived in Colorado I felt like I started to find myself. I was away from my family and in a new state for the first time in my life. I found people who don’t even question who they are—they are sincere through and through. And knowing I can have people who are so open in my life, people who can get to know me and like me without the games or the drama helped me feel more human.
I feel like so many of my friends in my home state don’t really know me or understand me, or they have these preconceived notions of me and even when I don’t act accordingly, it’s hard to break those opinions.
kicked off this trip by me feeling like myself. What a gift. Going to sleep smiling tonight.
signed,
butamithispersonorthatperson
"
2,https://www.opendiary.com/m/vulnerableme/sleepy-608-5919438/,2020-11-01,Sleepy,"
I got the wifi password, so here I am today typing away. Proud of myself for not missing a day yet. Halloween was fun. The party was weird, i was scared to drink too much. Idk why, i usually have no problems drinking too much. I think its because I’m not home, I’m not next to my husband. I take care of myself when I’m drunk but sometimes I get drunk anxiety. I usually brave and it spend the entire night trying not to have a panic attack and then spend the whole next day tired. But the last time I was having really bad drunk anxiety, I decided to wake up my husband. It was 100x better than I would’ve imagined, he talked me through my anxiety and then held me until I went to sleep. Then, when I would wake up mid-panic attack, he’d wake up with me and calm me down until I fell back asleep. I don’t think I’m going to get drunk anxiety tonight. I typically don’t when I’m around these friends. They’ve seen me at my worst and they know me so well (my anxiety is usually about something I said or something I did when I was drunk). But… idk… I just didn’t feel like drinking. I missed being home with my husband, even if it means doing nothing while he works. I didn’t even get to talk to him on the phone today because I was too busy.
But I realized something today. One of my friends is really sad, like if i wasn’t in Colorado he’d be sending me texts telling me how sad he is. He’s not over his last break-up. And while I hate seeing him so sad, and being this way for so long, I realized (and this is selfish, hard to admit, and difficult to type out), that I’m really happy. I spend so many days not being happy and I don’t know how I let myself live like that. I’m so happy with my life and where it’s going and I just want to enjoy my happiness. How lucky I am. How happy I am.
Signed,
NoOneReadsTheseButIKeepWriting
"
3,https://www.opendiary.com/m/vulnerableme/rant-rant-rant-rant-3-5921539/,2020-11-06,Rant-rant-rant-rant,"
Okay… this whole “all lives matter” thing literally BAFFLES me. First of all, the people screaming “all lives matter” are the same group of people who are for the death penalty EVEN THOUGH THEY KNOW INNOCENT PEOPLE GET SENTENCED TO DEATH ALL THE TIME!!!! But, it’s not even about that. Discussing a certain group doesn’t diminish another one.
If all lives matter then you can separate all lives into different categories and each category of life will matter! If I say I love all fruits, then I can also logically say I love apples… It can be separated. Here’s a better example: Imagine my mom is sick (she’s not), and I’m telling you the story about how my mom is sick and while I’m telling you the story I say, “I hope she gets better my mom is so important to me.” Would you feel the need to correct me? Would you feel the need to say “isn’t your dad’s life also so important to you?” Probably not. Because saying my mom is important doesn’t mean my dad isn’t important to me. So if a Black man gets brutally murdered by police with bystanders watching with people recording with people all over the world as a witness and we say “BLACK LIVES MATTER” we’re not dismissing other races or other “lives” We’re simply saying Black lives matter as much as any other life. Also, since when is being anti-fascist a bad thing?! I’m so tired of this country man. So tired.
Okay, one last thought in my rant before I go to bed. Have you guys ever had a friend who claims you’re cheating when you’re not? I have a friend and if I play a card game or a board game with him and I beat him he always says I cheated. I never cheat at games, he knows that (he even accused me of cheating on a game of electronic chess), but he uses the excuse to make himself better. That’s always what Trump’s doing: “oh i’m losing, they must be cheating” only now its at the cost of our democracy. And people are protesting, I repeat, PROTESTING democracy. I hate to say this because it sounds so offensive but I’m going to say it anyone (if you’re reading this please don’t take offense, I literally don’t know you). I feel like so many people are so stupid. And maybe it’s because I went to law school. And I don’t mean that in an arrogant way. I mean, in law school you pretty much spend all your time with other law students, who are more intelligent and logical and open-minded. We can discuss and learn from each other and we also use facts when we speak. I’m not used to being out of law school. I’m not used to being around people who believe whatever they want and don’t want to be corrected.
In Arizona, sharpie-gate is going on… or was I guess people got over it. Someone spread a rumor that if using a sharpie on a ballot will cancel the ballot. Now this rumor originated because when you check your ballot status in arizona, if you go to the mail in website, and if you voted in person the mail-in status will say canceled. This is to ensure your vote doesn’t get counted twice. Sharpie is actually preferable on ballots because the ink dries the fastest so it has less of chance of smearing. Anyway, someone posted something about a protest and demanding getting a second vote and calling people to stand up with her. I responded her with articles and facts and information about tabulations and also debunked sharpie-gate. She responded by telling me I’m not respecting her freedom of speech and I should just leave her alone to believe whatever she wants since she doesn’t tell me what to believe. That’s great. So much for valuing self-growth and education. Another group of people told me that because arizona was “confirmed” and then removed as a blue state it’s proof that arizona was cheating. No. CNN never called Arizona. Fox news did, because they wanted an estimate on election day. They messed up, CNN said there’s too many uncounted votes to call Arizona. So in some news stations, Arizona went to a confirmed blue state to an unconfirmed state because the counts were suddenly getting close. No cheating going on, just premature reporting. Another person I know compared Trump to King David in the bible. Another is claiming that Hillary and liberals did the same thing 4 years ago. People were mad that Hillary won the popular vote but lost the electoral college but no one was screaming that there was voter fraud from tabulations or that Hillary shouldn’t concede. I’m so over people. I want to go back to Boulder and live in a Boulder bubble with all my law school people.
Signed,
SorryMyRantingIsAnnoying
"
4,https://www.opendiary.com/m/vulnerableme/my-husband-is-the-most-amazing-man-5932370/,2020-12-05,My husband is the most amazing man,"
Seriously, how did i get so lucky?
We met in high school. And it took us a while before we began date–years. But it was love at first sight. I remember the feeling I got when I met him. It’s so hard to describe other than this intense happiness, so strong and so filling. Like nothing I’ve felt before. He felt it too, although I didn’t know it at the time. He told a group of my friends that he was going to end up marrying me. Everyone laughed. I laughed when they told me. But part of me felt happy.
Whenever he was gone that happiness would fade. I didn’t know that that was love.
He does so much for me. He works so hard to make sure I can reach my goals. He does everything he can to make me happy. I want to do something special for him for our anniversary (socially distanced, of course, we’re quarentiners because we believe in science). I just don’t know what to do yet.
 
 
"
5,https://www.opendiary.com/m/vulnerableme/respect-your-smarters-5937652/,2020-12-11,Respect your smarters,"
If ya’ll don’t already know, I’m very liberal. I have a lot of family that is not. A lot of them, unfortunately, are very racist. Some live out of the country. Lately, they’ve been trying to pick fights with this unlicensed lawyer (bad idea, keep walking).
A much older cousin of mine who lives in Canada tried to throw me on the trump train a few months ago by sending me a very racist article. I called her out on her racism, very respectfully, with statistics and facts, laws and reasons, and a Biden plan for immigration. She responded with something along the lines of “respect your elders.”
So I responded too. I told her that I’ve lived in America longer than she has, so technicallyyyyyy I’m older in the facts of the situation. She didn’t like that. She called me stupid, said my parents failed at teaching me respect, and told me I should be ashamed of myself (for talking to an elder in that way).
Today, I had another distant family member, send me something completely false and extremely racist. I, again very respectfully, told her that her argument is false and based in fear. She told me to respect my elders.
I really really really wanna respond: “Respect your smarters.”
I’m tired of being nice to people who won’t listen to me.
—
I was watching Queer Eye today, and referring to politics someone said, “people wanna talk but they don’t want to listen.” I think part of the reason I get so upset is because I DO LISTEN. In fact, I ask questions, I try to understand the logic. But when it’s my turn to talk people don’t listen. I had a guy who spouted Qanon bullshit at a lunch I went to, and every time I would try to respond he would walk outside for a “smoke break” then come back and spout the same bullshit. I learned the listening lesson a while ago. Back in 2015 I had a conservative friend who was trying to argue about the wage gap (a male, who basically saying it doesn’t exist). After spending a long time arguing about why I deserve the same pay as him, I realized something. He wasn’t saying I don’t deserve the same pay as him, he was arguing that he thinks I would get the same pay as him. In other words, he was arguing there is no such thing as a wage gap. So I changed courses. I asked him to pretend him and I, with the same degree (technically, I had two at the time and he had one, but the poor male ego…) were up for the same job. I asked him to imagine that our resumes were identical. That we answered almost the same answers in our interviews, and that we had the same previous work experience. Then I told him to pretend we both got the job. Hooray. Wooo. We’re smart we did it. We get the same job, doing the EXACT same thing in identical offices right next to each other. We both work just as hard and do great work that is again, identical. Then I tell him that he gets paid $100/hour for his work. And I get paid $70/hour. And I had to stress this multiple times: ignore the real world, okay. this is the world i’ve created. this is a scenario. Now in this scenario… IS THAT RIGHT? IS THAT FAIR?
No. He said. He didn’t even hesitate. Now, convincing him that the wage gaps exists is a whole different thing. But, in that moment it was nice to know that his argument was based on ignorance and not sexism.
You can’t argue against something if you don’t know what the primary principle behind that argument is. I think it’s the philosophy major in me.
If we disagree about something important, then I believe that there’s a fundamental flaw in your logic. If I can’t find the flaw, I should reevaluate my own opinion. In order to find it, I need to ask questions, listen, and ask if it’s worth it to respond. Because you should always ask yourself what it would take to change your mind, and what you think it would take to change someone else’s mind. I’m open to change; I’ve found that most people aren’t.
 
Sincerely,
RespectYourSmarters (featuring: DontDisrespectMeBecauseImYounger).
"
6,https://www.opendiary.com/m/vulnerableme/my-husband-got-a-promotion-5938475/,2020-12-15,My husband got a promotion!,"
I’m so proud of him!
I met my husband when I was 17, and we started dating when we were 21. Me, with my life all mapped out and him, completely going with the flow. If you would have met him then, you probably would’ve thought he was lost in his career. But he knew exactly what he wanted to do, he just didn’t know how to do it. One day, early in our relationship, I asked him where he pictured himself in five years. He said married to me (mission accomplished). But I asked him where he pictured himself working. He paused. For a really long time. And then he said he didn’t know. He couldn’t picture it. So I asked him, if he could do anything in the world, what would he want to do? He said engineer. I was not expecting that at all. He never really showed an interest in engineering, and I didn’t know that was something he’d even consider. And that’s how I knew he wanted it. I opened my laptop and started an application to the college I was already in. He was terrified.
“I can’t afford it”
“I don’t have time to do it”
“I’ll be in school forever”                                      and then.
“I’m not smart enough”
You don’t understand. My husband is the most confident man you’ll ever meet in your life. Seriously. He’s over-confident. Hearing those words broke my heart.
So I stopped filling out the application. I told him: “You are smart enough. You are smart enough to do anything. You are smart enough to do everything. And if this will make you happy, you owe it to yourself to do it.”
He didn’t argue, he just listed more objections. Mostly about how he can’t afford it, no matter how bad he wants it. I asked him if he could afford the $60 application fee. He said yes…. Then that’s the first step. We worry about the rest later.  We filled out the application together and I told him to sleep on it. Decide in the morning if he wants to submit it or not. He hit submit that night.
That was the easy part of this story.
So he gets in, and realizes he’s too young to get a loan without a cosigner, and he didn’t have a cosigner. This man worked 4 jobs and held a full-time schedule. No joke: he would go to school at 7am and not get home until 4am. Any free time he had he spent it with me, and both busy in our lives we spent our time mostly doing homework. He reached his breaking point more than once. He was so stressed and so overwhelmed and he would tell me he’s quitting. That’s it too much. That he can’t handle it. That he’s not sleeping. That he can’t even think straight.
I would love to say that I was supportive and told him to quit if he wanted to, but i wasn’t. I pushed him harder. It’s how I’ve always been raised. Honestly, I kind of regret it now. He needed support, not a push. But I pushed. I admit it. I would ask him if he still wants it. Ask him what he would do if he quits. Remind him how hard he’s worked. Talk about how amazing the future will be with us established in our careers. And then I’d tell him that I want him to finish. That his hard work means a lot to me. And on the days he can’t do it for himself, to do it for me. I think that was mean. I think I would’ve done it differently now. I would’ve been more supportive. Listen more to how he felt. At that time, I was overwhelmed too. Triple majoring, working two jobs, studying for the LSAT, applying to law schools. I couldn’t complain. In my family we don’t complain about schoolwork. In my family, education is the only way you’ll get anywhere in life, so you treat it like you love it, like you’re doing something fun, and you suck it up. Also, my parents were paying for my college, so any complaint was an insult to them. I didn’t have the time or the energy to give him the compassion he deserved during that hard time.
I graduated a year before him and went off to law school. His last year was easier. He was able to get a loan, and had moved up in one of his jobs where he could support himself. The long distance was hard. His graduation was the day of my Con Law final. I missed it. I still upset about it. He’s never brought it up. I can’t believe I missed it. I hate that I missed it. He did it. He endured so much and he graduated A YEAR EARLY! I’m so proud of him.
There’s more.
So right after he graduated he moved to Colorado and moved in with me (shhhh don’t tell my parents). The job hunt started. You see, he didn’t have any experience in the engineering field since he worked to support himself through school. He had worked in restaurants, bars, department stores, schools, any place that would hire him, so that he could actually go to school and then when he got out, no one wanted him because he didn’t have enough experience. Even entry level jobs wanted 3 years experience. We reached out to anyone we knew, every acquaintance, every acquaintance of acquaintance. We went to job fairs, he took an internship with undergrads, he emailed all his old professors begging for a contact. We applied to 50 jobs a day for a month. Then 10 jobs a day after that for who knows how long. Nothing. NOTHING. How can someone work so hard and not be recognized. He worked other jobs, but every rejection broke him a little bit more. We moved back to our home state, we got married, and still we were applying and still nothing. And then… Suddenly, a hit. An interview. High paying, high position, okay this is good. During the interview, he ran into one of those acquaintances we’ve reached out to. He said he’ll put in a word for him. A second interview. Then an offer later. After 2 years of relentlessly applying, he did it. Wow!  I was so happy! The big break we were waiting for! I wasn’t working, and it couldn’t have come at a better time! It wasn’t in the exact field he wanted, but it was a step.
And then…
A month goes by…
Enter. COVID.
He was fired.
I couldn’t believe it. I was always the hopeful one, but I lost hope. It destroyed me. He deserved this. He worked so hard for this. He finally got there and nothing. He remained hopeful. He kept applying. Two months ago, he applied to his dream job. They hired him almost instantly. I’ve never seen him happier! He absolutely loves every minute of work and he’s doing it all from home. Today, he got a promotion. He’s only been working there for two months and he got a promotion!
God, I’m so proud of him! The journey was tough, but he got there!
Did I mention how proud I am?
 
Okay I’m all typed out.
 
Sincerely,
WowThatWasWayTooLong
"
7,https://www.opendiary.com/m/vulnerableme/stream-of-consciousness-84-5938610/,2020-12-16,stream of consciousness,"
I’m trying to get in the habit of writing everyday but I don’t feel like I have much to say today. Husband had breakfast ready for me by the time I woke up. I spent about 6 hours studying. Working on building up my bar exam confidence. The major anxiety comes in waves and I’ve been doing a good job fighting it since I still have over 2 months to study.
My older brother and my niece came over a little bit. She’s two. It was her first time coming to my new place. She walked in and yelled “WOW I LOVE IT!” Her cuteness doesn’t help my major baby fever.
I need to go Christmas shopping but haven’t had the time. Money’s been tight, and we’ve been on a strict budget, and I know we have a little bit of room for family gifts, but it’s hard not to feel a little guilty for breaking the budget.
Haven’t talked to my twin in 10 days. Feels like forever. Even when I was in a different state we talked everyday. We’re not fighting or anything, she just needs a little bit of space. Even if I lie, being around me is a constant reminder she needs to leave her boyfriend, but she’s not ready yet. I wonder if I’ll see her for the Holidays this year. Probably not.
My younger brother was exposed to COVID at his work, so he had a test done and we’re waiting for the results. He has a little bit of a cough, but my mom is in denial that he could ever have it or give it to her. He doesn’t like my husband. He never really has, and he doesn’t try to hide it. In fact lately he’s just been pretending my husband doesn’t exist and not talking to him and pretending not to hear him. That’s gonna make Christmas fun this year 🙄
My grandpa’s dementia is getting worse. He forgot who I was the other day and then had tears in his eyes when he realized he forgot me. It’s hard to watch. What’s harder is watching my mom yell at him all the time. He’s not the easiest to be around but she doesn’t know how to handle him at all and it’s really sad to see.
I miss my grandma. Her and I were really close. It’s been 8 years since she passed. Lately I’ve been missing her more and more. I feel like she never got to see the real me. I’ve been dreaming about her more and more lately. I’ve been craving the sound of her voice. I used to have a voicemail of her on my phone but my asshole abusive ex made me delete it. I put it on a CD and it’s somewhere at my parents house.
I have a bunch of old home movies though. I ordered a VCR so I could watch them. She’ll be in them. I don’t want to forget her. The purest love I’ve ever felt. She held this family together. And weirdly enough, after she passed, that responsibility fell on me. I get, maybe, 60 phone calls a day from my family members, all with different problems, different drama, different stresses. And I have to know how to approach each one of them, and how to help each of them. It’s hard sometimes. Some days I have to stay up late and study or push off my schedule for a day because I get interrupted too many times.
My diet’s not working at all. I can’t starve myself and study. I just can’t. I’ve even cut alcohol. I love alcohol. It makes me happy. Even just a glass of wine before bed. But I haven’t drank in a couple weeks. Mainly because I don’t want the extra calories. But it isn’t helping. I’m eating unhealthy food and snacking way too much. I haven’t cooked in a couple weeks. I know if I go grocery shopping and cook I’ll start to lose the weight because I’ll start eating healthier. But I hate cooking. I guess I can make some chicken and vegetables tomorrow. My husband would like that. I also have been procrastinating ironing so now I have a huge pile to get to. I’ll try to do all that tomorrow, and study, and maybe Wednesday I’ll have time for Christmas shopping.
I hate going to sleep. I’m such a horrible insomniac. Apparently, I have been since I was born. Lately I’ve been completely unable to sleep. Also I’ve been sleeping a ton. I need to work on changing all these habits.
Maybe tomorrow. We’ll see.
"
8,https://www.opendiary.com/m/vulnerableme/feeling-unproductive-2-5938808/,2020-12-17,Feeling unproductive,"
Everyone says “treat bar prepping like a full-time job.” You get filled with stories of a strict 8-5 schedule that these people put together, where they show off how they work non-stop, take a lunch break, work some more, go to the gym, come back home and review.
I can’t do that.
I wake up and clean the house. By the time I’m done cleaning it’s my husband’s lunch break, so I make him lunch and sit with him for an hour watching tv or chatting. Then I clean up the mess we made eating and start studying. A few hours later, my husband’s off work. Lately he’s been staying in the office and watching tv so he won’t distract me. But soon enough its dinner time and then my day is just gone.
I don’t even have any kids. I just lose time doing so many things. Or maybe I am studying a lot, but the time goes by so fast I don’t feel it. I’ve hit my study goal every single day, so that’s something. I just feel so unproductive.
Today, I ordered a bunch of stuff on amazon but I still have more gifts I need to get. I’m going to put off studying and go shopping. I’ll do it tonight, or catch up tomorrow.
It’s not even that I need a break from studying. I haven’t hit that wall yet. I just need to get out of the house. My exercise has been me moving from the couch to the dining room table (my husband has taken over the office).
—
In other news, my brother’s covid test came back negative yay!
I texted my twin today. We’ve been chatting throughout the morning.
I’ll try to provide an update on how productive my day was later.
 
"
9,https://www.opendiary.com/m/vulnerableme/its-like-10-diary-posts-in-one-5938894/,2020-12-18,It’s like 10 diary posts in one,"
I actually ended up doing some bar prep today. I did a family law essay. It went okay. Generally, I’m pretty good at family law but this essay had a lot of civil procedure in it, and CivPro is my worst subject. If any lawyers are reading this and wanna explain the difference between PJ and SMJ and when I’m supposed to use each one or if i need both or how CivPro works in general feel free 😂If you don’t know a rule on an essay you’re supposed to make one up, so half the time I feel like Im just bullshitting an essay. Enough to pass? idk. I passed every class in law school including civpro (with a B-). They just announced that we’ll take the bar at home, which honestly is SO STUPID. They refused to do anything for the July bar with people begging for accommodations with COVID running rampant. Then my state ended up offering a shorter at home online optional October Bar with a state license only (I’m in UBE state, meaning my score is transferrable to other UBE states). That was a disaster. Had a 44% pass rate here. Now, they’re keeping the 2 day test, and the same time constraints, and the same everything but making us take it at home. My husband has to request work off those days and leave the house. The major problem is I handwrite everything. Not the actual essays–I type those–but my outlines to the essays. Even on the MBE (multiple choice) I make myself a roadmap in the margin. Like for contracts if it says something like a coffee shop owner contracts to buy 300 coffee mugs from a manufacturer, I’ll make a little image on the side so when I read the rest of the question I don’t get confused for who is who. In the MPT (one type of essay), i start from the end and flip through the pages quickly. How am i supposed to do that if its all online?! Ugh I’m annoyed and upset.
Anyway, an update on my day. After studying, I went to the mall for the first time in a year. Dousing myself in hand sanitizer every 10 seconds I officially finished Christmas shopping. I spent wayyyy too much money but I got everyone something I think they’ll like.
My twin and our dad are fighting. We didnt really talk about it, but I got the details from our mom today. I’m guessing she won’t be at Christmas. Probably also the reason she canceled our plans two weeks ago and I haven’t heard from her until I reached out today.
We might be transferring my grandpa to an assisted living place. Honestly, its for the best and we should’ve done it a year ago, but my mom was super against it. He lives with my aunt, my uncle, and their two daughters. Ever since my grandma passed he’s been a completely different person. He constantly thinks we’re plotting against him. Like, he thinks we made up COVID to keep him from leaving the house. He’s had multiple strokes and has aphasia (i think) so he can’t communicate very well. He did a lot of speech therapy but English isn’t his first language so it didn’t help much. He hasn’t been taking his medication correctly so my aunt started monitoring his pills, and giving it to him everyday. He threw a fit and claimed she’s trying to poison him. He has so much love in his heart but feels like a burden in his own home and feels like no one wants him there which just makes matters worse. After my grandma he found a “girlfriend” or “companion” as he liked to call her. She passed a few years ago and now he has no one. After his last stroke, his driver’s license was revoked. He took the test 3 times and failed, only to pass the 4th time. No one wants him driving, but no one can stop him. Whats sad for me is it’s hard to remember him before. Him when my grandma was alive. He was a totally different person. It was like when we lost my grandma, we lost him too. But really, all of us changed. She held this family together in a way I’ll never be able to.
She met my husband once. Before we were dating. When we were just friends in high school. I remember when he left she said “he’s so handsome, be careful with handsome men.” I wonder what she would’ve thought if she had gotten to know him. When she died I was dating my abusive ex. Everyone hated him. In her last days in hospice told me “if you marry him, he’ll take everything from you.” The relationship only lasted two months after that (well three, because he clung on that last month and refused to let me go). He didn’t want me to mourn. He compared it to his last break up. He drove me to the cemetery one day after we had a huge fight and kept me in the parking lot, and told I’d never be allowed to go to her grave again. That I needed to forget she ever existed. But then, he used to try to use her against me leaving him. Saying that he promised her he’d take care of me, and that he knows how much she loves me and blah blah blah. He really was a cruel man. As far as I know, he’s been single ever since we broke up. Thank God he’s not torturing another woman.
You know, there’s this writing challenge I saved years ago that I never did. A letter to a specific person in your life everyday for 30 days. You don’t send the letters, you just write them. I think I have a lot of people I have things to say to. I think I’m going to start the challenge on here tomorrow. To help me find some clarity.
IDontHaveAnythingCleverToEndWith
"
